Equipo,V,E,D,Goles a favor,Goles en contra,Puntos
FC Barcelona,28,4,6,70,20,88
Real Madrid,24,6,8,75,36,78
Atlético de Madrid,23,8,7,70,33,77
Real Sociedad,21,8,9,51,35,71
Villarreal CF,19,7,12,59,40,64
Real Betis,17,9,12,46,41,60
Osasuna,15,8,15,37,42,53
Athletic Club,14,9,15,47,43,51
RCD Mallorca,14,8,16,37,43,50
Girona FC,13,10,15,58,55,49
Sevilla FC,13,10,15,47,54,49
Rayo Vallecano,13,10,15,45,53,49
Celta de Vigo,11,10,17,43,53,43
Valencia CF,11,9,18,42,45,42
Getafe CF,10,12,16,34,45,42
Cadiz CF,10,12,16,30,53,42
UD Almería,11,8,19,49,65,41
Real Valladolid,11,7,20,33,63,40
RCD Espanyol,8,13,17,52,69,37
Elche CF,5,10,23,30,67,25
