Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Conan Ledesma,30,Portero,Argentina,"8,00 mill. €"
David Gil,29,Portero,España,700 mil €
Victor Aznar,20,Portero,Brasil,50 mil €
Nando Almodóvar,19,Portero,España,50 mil €
Fali,29,Defensa central,España,"2,50 mill. €"
Víctor Chust,23,Defensa central,España,"2,50 mill. €"
Jorge Meré,26,Defensa central,España,"1,20 mill. €"
Luis Hernández,34,Defensa central,España,"1,00 mill. €"
Momo Mbaye,25,Defensa central,Senegal,700 mil €
Juan Cala,33,Defensa central,España,600 mil €
Carlos García,22,Defensa central,España,200 mil €
Lautaro Spatz,21,Defensa central,Argentina,150 mil €
Alfonso Espino,31,Lateral izquierdo,Uruguay,"3,50 mill. €"
Santiago Arzamendia,25,Lateral izquierdo,Paraguay,"1,20 mill. €"
Joseba Zaldua,31,Lateral derecho,España,"2,50 mill. €"
Iza Carcelén,30,Lateral derecho,España,"1,50 mill. €"
Raúl Parra,23,Lateral derecho,España,300 mil €
Kikín,20,Lateral derecho,España,50 mil €
Antonio Blanco,22,Pivote,España,"2,50 mill. €"
Tomás Alarcón,24,Pivote,Chile,"1,50 mill. €"
José Mari,35,Pivote,España,400 mil €
Jon Ander Garrido,33,Pivote,España,300 mil €
Rubén Alcaraz,32,Mediocentro,España,"2,00 mill. €"
Gonzalo Escalante,30,Mediocentro,Argentina,"2,00 mill. €"
Fede San Emeterio,26,Mediocentro,España,"2,00 mill. €"
Youba Diarra,25,Mediocentro,Malí,900 mil €
Álvaro Bastida,19,Mediocentro,España,600 mil €
Curro Muñoz,20,Mediocentro,España,50 mil €
Moussa Diakité,19,Mediocentro,Malí,50 mil €
Álex Fernández,30,Mediocentro ofensivo,España,"4,00 mill. €"
Brian Ocampo,24,Extremo izquierdo,Uruguay,"2,00 mill. €"
Awer Mabil,27,Extremo izquierdo,Australia,"1,20 mill. €"
Alberto Perea,32,Extremo izquierdo,España,"1,00 mill. €"
José Antonio de la Rosa,18,Extremo izquierdo,España,300 mil €
Théo Bongonda,27,Extremo derecho,RD del Congo,"4,00 mill. €"
Iván Alejo,28,Extremo derecho,España,"1,20 mill. €"
Mamady Diarra,23,Extremo derecho,Malí,300 mil €
Choco Lozano,30,Delantero centro,Honduras,"2,50 mill. €"
Rubén Sobrino,31,Delantero centro,España,"2,00 mill. €"
Roger Martí,32,Delantero centro,España,"2,00 mill. €"
Sergi Guardiola,32,Delantero centro,España,"2,00 mill. €"
Chris Ramos,26,Delantero centro,España,"1,50 mill. €"
Álvaro Negredo,37,Delantero centro,España,"1,00 mill. €"
Lucas Pérez,34,Delantero centro,España,800 mil €
Álvaro Giménez,32,Delantero centro,España,600 mil €
Francisco Mwepu,23,Delantero centro,Zambia,150 mil €
Etta Eyong,19,Delantero centro,Camerún,50 mil €
